obligacion,valor pago,fecha,cod
1023456900,90391673,2/10/2020,recaudo
1023456901,32462161,3/10/2020,recaudo
1023456902,29646137,4/10/2020,recaudo
1023456903,38185312,5/10/2020,recaudo
1023456904,98998026,6/10/2020,recaudo
1023456905,83859458,7/10/2020,recaudo
1023456906,67897160,8/10/2020,recaudo
1023456907,75134346,9/10/2020,recaudo
1023456908,83494621,10/10/2020,recaudo
1023456909,64922669,11/10/2020,recaudo
1023456910,44218987,12/10/2020,recaudo
1023456911,9159763,13/10/2020,recaudo
1023456912,59830539,14/10/2020,recaudo
1023456913,74851052,15/10/2020,recaudo
1023456914,20019634,16/10/2020,recaudo
1023456915,39978846,17/10/2020,recaudo
1023456916,64826380,18/10/2020,recaudo
1023456917,12820933,19/10/2020,recaudo
1023456918,14773778,20/10/2020,recaudo
1023456919,48458899,21/10/2020,recaudo
1023456920,8286220,22/10/2020,recaudo
1023456921,52085153,23/10/2020,recaudo
1023456922,17361366,24/10/2020,recaudo
1023456923,36913677,25/10/2020,recaudo
1023456924,20320279,26/10/2020,recaudo
1023456925,73534874,27/10/2020,recaudo
1023456926,17653554,28/10/2020,recaudo
1023456927,38126650,29/10/2020,recaudo
1023456928,41060581,1/10/2020,recaudo
1023456929,69330753,2/10/2020,recaudo
1023456930,38635040,3/10/2020,recaudo
1023456931,87691819,4/10/2020,recaudo
1023456932,26399384,5/10/2020,recaudo
1023456933,45890512,6/10/2020,recaudo
1023456934,10100477,7/10/2020,recaudo
1023456935,81997636,8/10/2020,recaudo
1023456936,6770839,9/10/2020,recaudo
1023456937,41559367,10/10/2020,recaudo
1023456938,16309582,11/10/2020,recaudo
1023456939,6642036,12/10/2020,recaudo
1023456940,33801606,13/10/2020,recaudo
1023456941,40589719,14/10/2020,recaudo
1023456942,62049330,15/10/2020,recaudo
1023456943,78297832,16/10/2020,recaudo
1023456944,93634590,17/10/2020,recaudo
1023456945,27610828,18/10/2020,recaudo
1023456946,97331037,19/10/2020,recaudo
1023456947,17303413,20/10/2020,recaudo
1023456948,80149378,21/10/2020,recaudo
1023456949,54857789,22/10/2020,recaudo
1023456950,21507418,23/10/2020,recaudo
1023456951,38163205,24/10/2020,recaudo
1023456952,10168963,25/10/2020,recaudo
1023456953,57822602,26/10/2020,recaudo
1023456954,49150404,27/10/2020,recaudo
1023456955,71166863,28/10/2020,recaudo
1023456956,63296734,29/10/2020,recaudo
1023456957,95728184,1/10/2020,recaudo
1023456958,7126709,2/10/2020,recaudo
1023456959,93630722,3/10/2020,recaudo
1023456960,73044688,4/10/2020,recaudo
1023456961,2689886,5/10/2020,recaudo
1023456962,90134915,6/10/2020,recaudo
1023456963,59241353,7/10/2020,recaudo
1023456964,86265352,8/10/2020,recaudo
1023456965,44387850,9/10/2020,recaudo
1023456966,45877035,10/10/2020,recaudo
1023456967,41795073,11/10/2020,recaudo
1023456968,53902003,12/10/2020,recaudo
1023456969,51380564,13/10/2020,recaudo
1023456970,75935429,14/10/2020,recaudo
1023456971,97423931,15/10/2020,recaudo
1023456972,26900024,16/10/2020,recaudo
1023456973,68646679,17/10/2020,recaudo
1023456974,24267964,18/10/2020,recaudo
1023456975,75211453,19/10/2020,recaudo
1023456976,20649446,20/10/2020,recaudo
1023456977,19451476,21/10/2020,recaudo
1023456978,43764784,22/10/2020,recaudo
1023456979,77073553,23/10/2020,recaudo
1023456980,91597548,1/10/2020,recaudo
1023456981,15872353,2/10/2020,recaudo
1023456982,4906577,3/10/2020,recaudo
1023456983,28878033,4/10/2020,recaudo
1023456984,42604304,5/10/2020,recaudo
1023456985,63499493,6/10/2020,recaudo
1023456986,20845690,7/10/2020,recaudo
1023456987,91286029,8/10/2020,recaudo
1023456988,4240203,9/10/2020,recaudo
1023456989,1910962,10/10/2020,recaudo
1023456990,43037383,11/10/2020,recaudo
1023456991,93173888,12/10/2020,recaudo
1023456992,10302453,13/10/2020,recaudo
1023456993,11385280,14/10/2020,recaudo
1023456994,97326175,15/10/2020,recaudo
1023456995,75598079,16/10/2020,recaudo
1023456996,6179991,17/10/2020,recaudo
1023456997,474631,18/10/2020,recaudo
1023456998,14285816,19/10/2020,recaudo
1023456999,83672047,20/10/2020,recaudo
1023457000,6921339,21/10/2020,recaudo
1023457001,36072904,22/10/2020,recaudo
1023457002,76517203,1/10/2020,recaudo
1023457003,91897084,2/10/2020,recaudo
1023457004,72471909,3/10/2020,recaudo
1023457005,20294354,4/10/2020,recaudo
1023457006,96006621,5/10/2020,recaudo
1023457007,56105746,6/10/2020,recaudo
1023457008,44689108,7/10/2020,recaudo
1023457009,57058245,8/10/2020,recaudo
1023457010,37209404,9/10/2020,recaudo
1023457011,12247726,10/10/2020,recaudo
1023457012,20791926,11/10/2020,recaudo
1023457013,8152648,12/10/2020,recaudo
1023457014,30853385,13/10/2020,recaudo
1023457015,29750733,14/10/2020,recaudo
1023457016,75320347,15/10/2020,recaudo
1023457017,80399558,16/10/2020,recaudo
1023457018,61645783,17/10/2020,recaudo
1023457019,56701569,18/10/2020,recaudo
1023457020,58907072,19/10/2020,recaudo
1023457021,77194120,20/10/2020,recaudo
1023457022,17155705,21/10/2020,recaudo
1023457023,9093392,22/10/2020,recaudo
1023457024,5879143,1/10/2020,recaudo
1023457025,2957460,2/10/2020,recaudo
1023457026,19814545,3/10/2020,recaudo
1023457027,35782923,4/10/2020,recaudo
1023457028,48624721,5/10/2020,recaudo
1023457029,16759024,6/10/2020,recaudo
1023457030,77326877,7/10/2020,recaudo
1023457031,65217044,8/10/2020,recaudo
1023457032,59485359,9/10/2020,recaudo
1023457033,80390028,10/10/2020,recaudo
1023457034,32661122,11/10/2020,recaudo
1023457035,7204518,12/10/2020,recaudo
1023457036,26698958,13/10/2020,recaudo
1023457037,20935142,14/10/2020,recaudo
1023457038,49342819,15/10/2020,recaudo
1023457039,37573719,16/10/2020,recaudo
1023457040,42469321,17/10/2020,recaudo
1023457041,75783034,18/10/2020,recaudo
1023457042,79061011,19/10/2020,recaudo
1023457043,20703198,20/10/2020,recaudo
1023457044,49243196,21/10/2020,recaudo
1023457045,70263742,22/10/2020,recaudo
1023457046,95751326,1/10/2020,recaudo
1023457047,8330891,2/10/2020,recaudo
1023457048,51556868,3/10/2020,recaudo
1023457049,23312216,4/10/2020,recaudo
1023457050,5457858,5/10/2020,recaudo
1023457051,33310290,6/10/2020,recaudo
1023457052,9198240,7/10/2020,recaudo
1023457053,61446057,8/10/2020,recaudo
1023457054,50405448,9/10/2020,recaudo
1023457055,34455407,10/10/2020,recaudo
1023457056,93733489,11/10/2020,recaudo
1023457057,80091002,12/10/2020,recaudo
1023457058,43554674,13/10/2020,recaudo
1023457059,83884119,14/10/2020,recaudo
1023457060,32059142,15/10/2020,recaudo
1023457061,38108206,16/10/2020,recaudo
1023457062,86899072,17/10/2020,recaudo
1023457063,23021342,18/10/2020,recaudo
1023457064,70706208,19/10/2020,recaudo
1023457065,98110508,20/10/2020,recaudo
1023457066,86442304,21/10/2020,recaudo
1023457067,92210126,22/10/2020,recaudo
1023457068,2127907,23/10/2020,recaudo
1023457069,52071022,24/10/2020,recaudo
1023457070,57897758,25/10/2020,recaudo
1023457071,68692409,26/10/2020,recaudo
1023457072,42828572,27/10/2020,recaudo
1023457073,11834487,28/10/2020,recaudo
1023457074,54134245,29/10/2020,recaudo
1023457075,49576499,1/10/2020,recaudo
1023457076,97726693,2/10/2020,recaudo
1023457077,93741495,3/10/2020,recaudo
1023457078,69757570,4/10/2020,recaudo
1023457079,11425245,5/10/2020,recaudo
1023457080,13016449,6/10/2020,recaudo
1023457081,38566596,7/10/2020,recaudo
1023457082,10389165,8/10/2020,recaudo
1023457083,54679988,9/10/2020,recaudo
1023457084,38408322,10/10/2020,recaudo
1023457085,17321161,11/10/2020,recaudo
1023457086,46208429,12/10/2020,recaudo
1023457087,44375241,13/10/2020,recaudo
1023457088,69693543,14/10/2020,recaudo
1023457089,33209912,15/10/2020,recaudo
1023457090,93792921,16/10/2020,recaudo
1023457091,64746564,17/10/2020,recaudo
1023457092,25475395,18/10/2020,recaudo
1023457093,11923446,19/10/2020,recaudo
1023457094,90341163,20/10/2020,recaudo
1023457095,30024521,21/10/2020,recaudo
1023457096,36533520,22/10/2020,recaudo
1023457097,69428137,23/10/2020,recaudo
1023457098,87052862,24/10/2020,recaudo
1023457099,5570937,25/10/2020,recaudo
1023457100,22137731,26/10/2020,recaudo
1023457101,85227602,27/10/2020,recaudo
1023457102,23745694,28/10/2020,recaudo
1023457103,74117326,29/10/2020,recaudo
1023457104,49367296,1/10/2020,recaudo
1023457105,18619668,2/10/2020,recaudo
1023457106,64308994,3/10/2020,recaudo
1023457107,64030158,4/10/2020,recaudo
1023457108,2111035,5/10/2020,recaudo
1023457109,39730216,6/10/2020,recaudo
1023457110,35377603,7/10/2020,recaudo
1023457111,33332319,8/10/2020,recaudo
1023457112,29611321,9/10/2020,recaudo
1023457113,86664193,10/10/2020,recaudo
1023457114,80725428,11/10/2020,recaudo
1023457115,-121378,12/10/2020,recaudo
1023457116,61656712,13/10/2020,recaudo
1023457117,16055209,14/10/2020,recaudo
1023457118,40193376,15/10/2020,recaudo
1023457119,47660701,16/10/2020,recaudo
1023457120,26764101,17/10/2020,recaudo
1023457121,89291359,18/10/2020,recaudo
1023457122,34315783,19/10/2020,recaudo
1023457123,17431225,20/10/2020,recaudo
1023457124,56449853,21/10/2020,recaudo
1023457125,31127311,22/10/2020,recaudo
1023457126,21304880,23/10/2020,recaudo
1023457127,93077033,24/10/2020,recaudo
1023457128,41023460,25/10/2020,recaudo
1023457129,334005,26/10/2020,recaudo
1023457130,62665198,27/10/2020,recaudo
1023457131,1203617,28/10/2020,recaudo
1023457132,89291209,29/10/2020,recaudo
1023457133,18211027,1/10/2020,recaudo
1023457134,70819906,2/10/2020,recaudo
1023457135,46502266,3/10/2020,recaudo
1023457136,27770976,4/10/2020,recaudo
1023457137,81244281,5/10/2020,recaudo
1023457138,76014572,6/10/2020,recaudo
1023457139,93548486,7/10/2020,recaudo
1023457140,59432894,8/10/2020,recaudo
1023457141,756389,9/10/2020,recaudo
1023457142,78689812,10/10/2020,recaudo
1023457143,17728969,11/10/2020,recaudo
1023457144,45075555,12/10/2020,recaudo
1023457145,52934393,13/10/2020,recaudo
1023457146,36011816,14/10/2020,recaudo
1023457147,60653815,15/10/2020,recaudo
1023457148,87900031,16/10/2020,recaudo
1023457149,93924734,17/10/2020,recaudo
1023457150,22084789,18/10/2020,recaudo
1023457151,4021997,19/10/2020,recaudo
1023457152,32377555,20/10/2020,recaudo
1023457153,44756414,21/10/2020,recaudo
1023457154,64117360,22/10/2020,recaudo
1023457155,11339204,23/10/2020,recaudo
1023457156,94764236,1/10/2020,recaudo
1023457157,90046885,2/10/2020,recaudo
1023457158,22383593,3/10/2020,recaudo
1023457159,54589621,4/10/2020,recaudo
1023457160,50026659,5/10/2020,recaudo
1023457161,63169517,6/10/2020,recaudo
1023457162,6639805,7/10/2020,recaudo
1023457163,2178434,8/10/2020,recaudo
1023457164,79351190,9/10/2020,recaudo
1023457165,24973661,10/10/2020,recaudo
1023457166,20857881,11/10/2020,recaudo
1023457167,41077622,12/10/2020,recaudo
1023457168,16380905,13/10/2020,recaudo
1023457169,81245619,14/10/2020,recaudo
1023457170,44828895,15/10/2020,recaudo
1023457171,41964989,16/10/2020,recaudo
1023457172,36107769,17/10/2020,recaudo
1023457173,53490645,18/10/2020,recaudo
1023457174,78372304,19/10/2020,recaudo
1023457175,30663976,20/10/2020,recaudo
1023457176,26830418,21/10/2020,recaudo
1023457177,12027414,22/10/2020,recaudo
1023457178,15713983,1/10/2020,recaudo
1023457179,5615251,2/10/2020,recaudo
1023457180,15047217,3/10/2020,recaudo
1023457181,20592623,4/10/2020,recaudo
1023457182,73101008,5/10/2020,recaudo
1023457183,46989560,6/10/2020,recaudo
1023457184,49748439,7/10/2020,recaudo
1023457185,72996808,8/10/2020,recaudo
1023457186,93690236,9/10/2020,recaudo
1023457187,40621613,10/10/2020,recaudo
1023457188,99857407,11/10/2020,recaudo
1023457189,42302471,12/10/2020,recaudo
1023457190,26455335,13/10/2020,recaudo
1023457191,96182580,14/10/2020,recaudo
1023457192,44538510,15/10/2020,recaudo
1023457193,40910730,16/10/2020,recaudo
1023457194,88022677,17/10/2020,recaudo
1023457195,35818727,18/10/2020,recaudo
1023457196,89965505,19/10/2020,recaudo
1023457197,70236050,20/10/2020,recaudo
1023457198,57789858,21/10/2020,recaudo
1023457199,28489115,22/10/2020,recaudo
1023457200,8793300,1/10/2020,recaudo
1023457201,387445,2/10/2020,recaudo
1023457202,11051852,3/10/2020,recaudo
1023457203,92397431,4/10/2020,recaudo
1023457204,37297865,5/10/2020,recaudo
1023457205,56456962,6/10/2020,recaudo
1023457206,80791822,7/10/2020,recaudo
1023457207,69959657,8/10/2020,recaudo
1023457208,90258958,9/10/2020,recaudo
1023457209,39144473,10/10/2020,recaudo
1023457210,66142039,11/10/2020,recaudo
1023457211,39865710,12/10/2020,recaudo
1023457212,34836813,13/10/2020,recaudo
1023457213,69259976,14/10/2020,recaudo
1023457214,94058574,15/10/2020,recaudo
1023457215,65161729,16/10/2020,recaudo
1023457216,48401230,17/10/2020,recaudo
1023457217,71884797,18/10/2020,recaudo
1023457218,79506462,19/10/2020,recaudo
1023457219,23495922,20/10/2020,recaudo
1023457220,93029709,21/10/2020,recaudo
1023457221,41200906,22/10/2020,recaudo
1023457222,95874179,1/10/2020,recaudo
1023457223,23049453,2/10/2020,recaudo
1023457224,58817341,3/10/2020,recaudo
1023457225,55358436,4/10/2020,recaudo
1023457226,72935220,5/10/2020,recaudo
1023457227,88480614,6/10/2020,recaudo
1023457228,61299049,7/10/2020,recaudo
1023457229,57630352,8/10/2020,recaudo
1023457230,40081234,9/10/2020,recaudo
1023457231,39629506,10/10/2020,recaudo
1023457232,10106435,11/10/2020,recaudo
1023457233,16536081,12/10/2020,recaudo
1023457234,40118664,13/10/2020,recaudo
1023457235,25732443,14/10/2020,recaudo
1023457236,98634003,15/10/2020,recaudo
1023457237,48949079,16/10/2020,recaudo
1023457238,68684322,17/10/2020,recaudo
1023457239,18389504,18/10/2020,recaudo
1023457240,54891665,19/10/2020,recaudo
1023457241,10688199,20/10/2020,recaudo
1023457242,34637626,21/10/2020,recaudo
1023457243,14722281,22/10/2020,recaudo
1023457244,28547479,23/10/2020,recaudo
1023457245,59784949,24/10/2020,recaudo
1023457246,5992447,25/10/2020,recaudo
1023457247,42866912,26/10/2020,recaudo
1023457248,28933390,27/10/2020,recaudo
1023457249,94074584,28/10/2020,recaudo
1023457250,67714035,29/10/2020,recaudo
1023457251,25274299,1/10/2020,recaudo
1023457252,77472465,2/10/2020,recaudo
1023457253,80876057,3/10/2020,recaudo
1023457254,6236925,4/10/2020,recaudo
1023457255,36819047,5/10/2020,recaudo
1023457256,62018264,6/10/2020,recaudo
1023457257,9317685,7/10/2020,recaudo
1023457258,87166955,8/10/2020,recaudo
1023457259,27210366,9/10/2020,recaudo
1023457260,97718300,10/10/2020,recaudo
1023457261,92415601,11/10/2020,recaudo
1023457262,56237562,12/10/2020,recaudo
1023457263,6823723,13/10/2020,recaudo
1023457264,46540792,14/10/2020,recaudo
1023457265,89241748,15/10/2020,recaudo
1023457266,5658993,16/10/2020,recaudo
1023457267,15277275,17/10/2020,recaudo
1023457268,83793771,18/10/2020,recaudo
1023457269,55359492,19/10/2020,recaudo
1023457270,12211092,20/10/2020,recaudo
1023457271,26213341,21/10/2020,recaudo
1023457272,74182256,22/10/2020,recaudo
1023457273,72560038,23/10/2020,recaudo
1023457274,69105243,24/10/2020,recaudo
1023457275,65379178,25/10/2020,recaudo
1023457276,82794011,26/10/2020,recaudo
1023457277,23343999,27/10/2020,recaudo
1023457278,528063,28/10/2020,recaudo
1023457279,43890372,29/10/2020,recaudo
1023457280,74927511,1/10/2020,recaudo
1023457281,86683140,2/10/2020,recaudo
1023457282,470743,3/10/2020,recaudo
1023457283,87505018,4/10/2020,recaudo
1023457284,84580790,5/10/2020,recaudo
1023457285,7038882,6/10/2020,recaudo
1023457286,3439921,7/10/2020,recaudo
1023457287,36484967,8/10/2020,recaudo
1023457288,52516552,9/10/2020,recaudo
1023457289,86393206,10/10/2020,recaudo
1023457290,1498590,11/10/2020,recaudo
1023457291,11407026,12/10/2020,recaudo
1023457292,49496127,13/10/2020,recaudo
1023457293,21262873,14/10/2020,recaudo
1023457294,3727055,15/10/2020,recaudo
1023457295,49490816,16/10/2020,recaudo
1023457296,94345242,17/10/2020,recaudo
1023457297,50220767,18/10/2020,recaudo
1023457298,46098896,19/10/2020,recaudo
1023457299,72320783,20/10/2020,recaudo
1023457300,77207089,21/10/2020,recaudo
1023457301,87011059,22/10/2020,recaudo
1023457302,36710949,23/10/2020,recaudo
1023457303,812030,24/10/2020,recaudo
1023457304,64763250,25/10/2020,recaudo
1023457305,76654140,26/10/2020,recaudo
1023457306,10941180,27/10/2020,recaudo
1023457307,88812258,28/10/2020,recaudo
1023457308,26244178,29/10/2020,recaudo
1023457309,94039088,1/10/2020,recaudo
1023457310,30368217,2/10/2020,recaudo
1023457311,18930765,3/10/2020,recaudo
1023457312,47792082,4/10/2020,recaudo
1023457313,34121538,5/10/2020,recaudo
1023457314,57099571,6/10/2020,recaudo
1023457315,487300,7/10/2020,recaudo
1023457316,12636452,8/10/2020,recaudo
1023457317,94583406,9/10/2020,recaudo
1023457318,68839997,10/10/2020,recaudo
1023457319,16100661,11/10/2020,recaudo
1023457320,43322684,12/10/2020,recaudo
1023457321,97496501,13/10/2020,recaudo
1023457322,6019292,14/10/2020,recaudo
1023457323,92558702,15/10/2020,recaudo
1023457324,10598034,16/10/2020,recaudo
1023457325,75998088,17/10/2020,recaudo
1023457326,1066010,18/10/2020,recaudo
1023457327,99007828,19/10/2020,recaudo
1023457328,11383595,20/10/2020,recaudo
1023457329,99868392,21/10/2020,recaudo
1023457330,96358945,22/10/2020,recaudo
1023457331,39212391,23/10/2020,recaudo
1023457332,16725172,1/10/2020,recaudo
1023457333,5338968,2/10/2020,recaudo
1023457334,67987973,3/10/2020,recaudo
1023457335,48910742,4/10/2020,recaudo
1023457336,66790147,5/10/2020,recaudo
1023457337,93327611,6/10/2020,recaudo
1023457338,83989350,7/10/2020,recaudo
1023457339,38983068,8/10/2020,recaudo
1023457340,94814937,9/10/2020,recaudo
1023457341,1463010,10/10/2020,recaudo
1023457342,48137005,11/10/2020,recaudo
1023457343,99347296,12/10/2020,recaudo
1023457344,80526888,13/10/2020,recaudo
1023457345,73636581,14/10/2020,recaudo
1023457346,10520608,15/10/2020,recaudo
1023457347,5983647,16/10/2020,recaudo
1023457348,52825793,17/10/2020,recaudo
1023457349,39083842,18/10/2020,recaudo
1023457350,7416958,19/10/2020,recaudo
1023457351,45723474,20/10/2020,recaudo
1023457352,26198245,21/10/2020,recaudo
1023457353,21735472,22/10/2020,recaudo
1023457354,3382043,1/10/2020,recaudo
1023457355,61577982,2/10/2020,recaudo
1023457356,70911791,3/10/2020,recaudo
1023457357,62315005,4/10/2020,recaudo
1023457358,90259010,5/10/2020,recaudo
1023457359,3534095,6/10/2020,recaudo
1023457360,4100442,7/10/2020,recaudo
1023457361,49879272,8/10/2020,recaudo
1023457362,58609787,9/10/2020,recaudo
1023457363,17681150,10/10/2020,recaudo
1023457364,87653282,11/10/2020,recaudo
1023457365,80717236,12/10/2020,recaudo
1023457366,82076584,13/10/2020,recaudo
1023457367,75595468,14/10/2020,recaudo
1023457368,46111293,15/10/2020,recaudo
1023457369,50476391,16/10/2020,recaudo
1023457370,80339618,17/10/2020,recaudo
1023457371,17088789,18/10/2020,recaudo
1023457372,37282716,19/10/2020,recaudo
1023457373,4755547,20/10/2020,recaudo
1023457374,77057770,21/10/2020,recaudo
1023457375,50776555,22/10/2020,recaudo
1023457376,98928721,1/10/2020,recaudo
1023457377,25738423,2/10/2020,recaudo
1023457378,44852742,3/10/2020,recaudo
1023457379,42682118,4/10/2020,recaudo
1023457380,13321709,5/10/2020,recaudo
1023457381,96201951,6/10/2020,recaudo
1023457382,61721696,7/10/2020,recaudo
1023457383,26192929,8/10/2020,recaudo
1023457384,6107055,9/10/2020,recaudo
1023457385,5312587,10/10/2020,recaudo
1023457386,90510404,11/10/2020,recaudo
1023457387,51423454,12/10/2020,recaudo
1023457388,15332713,13/10/2020,recaudo
1023457389,64807038,14/10/2020,recaudo
1023457390,90706515,15/10/2020,recaudo
1023457391,89376496,16/10/2020,recaudo
1023457392,63547174,17/10/2020,recaudo
1023457393,99477509,18/10/2020,recaudo
1023457394,51081402,19/10/2020,recaudo
1023457395,58614501,20/10/2020,recaudo
1023457396,79077454,21/10/2020,recaudo
1023457397,54536107,22/10/2020,recaudo
1023457398,47519899,1/10/2020,recaudo
1023457399,80291431,2/10/2020,recaudo
1023457400,8664596,3/10/2020,recaudo
1023457401,17123976,4/10/2020,recaudo
1023457402,57264544,5/10/2020,recaudo
1023457403,9390932,6/10/2020,recaudo
1023457404,68857781,7/10/2020,recaudo
1023457405,28761604,8/10/2020,recaudo
1023457406,35532712,9/10/2020,recaudo
1023457407,4240203,10/10/2020,recaudo
1023457408,55886237,11/10/2020,recaudo
1023457409,28671488,12/10/2020,recaudo
1023457410,46438052,13/10/2020,recaudo
1023457411,1392357,14/10/2020,recaudo
1023457412,33390525,15/10/2020,recaudo
1023457413,77861466,16/10/2020,recaudo
1023457414,12646454,17/10/2020,recaudo
1023457415,73657111,18/10/2020,recaudo
1023457416,6984435,19/10/2020,recaudo
1023457417,75446562,20/10/2020,recaudo
1023457418,5091605,21/10/2020,recaudo
1023457419,8264357,22/10/2020,recaudo
1023457420,80464716,23/10/2020,recaudo
1023457421,62841872,24/10/2020,recaudo
1023457422,26367890,25/10/2020,recaudo
1023457423,38738955,26/10/2020,recaudo
1023457424,37150727,27/10/2020,recaudo
1023457425,50116285,28/10/2020,recaudo
1023457426,91390179,29/10/2020,recaudo
1023457427,50443482,1/10/2020,recaudo
1023457428,9497425,2/10/2020,recaudo
1023457429,76157219,3/10/2020,recaudo
1023457430,24426565,4/10/2020,recaudo
1023457431,25826437,5/10/2020,recaudo
1023457432,10275967,6/10/2020,recaudo
1023457433,28305851,7/10/2020,recaudo
1023457434,40713016,8/10/2020,recaudo
1023457435,29201420,9/10/2020,recaudo
1023457436,27336545,10/10/2020,recaudo
1023457437,16364258,11/10/2020,recaudo
1023457438,41906235,12/10/2020,recaudo
1023457439,15524926,13/10/2020,recaudo
1023457440,24822241,14/10/2020,recaudo
1023457441,81994948,15/10/2020,recaudo
1023457442,5957684,16/10/2020,recaudo
1023457443,61115203,17/10/2020,recaudo
1023457444,90369284,18/10/2020,recaudo
1023457445,89048917,19/10/2020,recaudo
1023457446,500192,20/10/2020,recaudo
1023457447,50127303,21/10/2020,recaudo
1023457448,59511594,22/10/2020,recaudo
1023457449,15974002,23/10/2020,recaudo
1023457450,59778996,24/10/2020,recaudo
1023457451,17955088,25/10/2020,recaudo
1023457452,43856497,26/10/2020,recaudo
1023457453,18470770,27/10/2020,recaudo
1023457454,4106279,28/10/2020,recaudo
1023457455,14209464,29/10/2020,recaudo
1023457456,80641489,1/10/2020,recaudo
1023457457,73238243,2/10/2020,recaudo
1023457458,40595809,3/10/2020,recaudo
1023457459,15873484,4/10/2020,recaudo
1023457460,26555394,5/10/2020,recaudo
1023457461,21629775,6/10/2020,recaudo
1023457462,31230981,7/10/2020,recaudo
1023457463,98631460,8/10/2020,recaudo
1023457464,11033739,9/10/2020,recaudo
1023457465,64238573,10/10/2020,recaudo
1023457466,18502344,11/10/2020,recaudo
1023457467,89578768,12/10/2020,recaudo
1023457468,29120308,13/10/2020,recaudo
